index,real_news
1,yes
2,yes
3,no
4,no
5,no
6,yes
7,yes
8,no
9,yes
10,no
11,yes
12,no
13,yes
14,yes
15,no
16,no
17,yes
18,yes
19,yes
20,yes
21,yes
22,yes
23,yes
24,yes
25,yes
26,no
27,no
28,yes
29,yes
30,yes
31,yes
32,no
33,yes
34,yes
35,yes
36,no
37,yes
38,yes
39,yes
40,no
41,yes
42,yes
43,yes
44,yes
45,yes
46,yes
47,yes
48,yes
49,no
50,yes
51,yes
52,yes
53,yes
54,yes
55,no
56,yes
57,yes
58,yes
59,yes
60,no
61,yes
62,no
63,yes
64,no
65,yes
66,yes
67,yes
68,no
69,no
70,yes
71,yes
72,yes
73,no
74,yes
75,yes
76,yes
77,no
78,no
79,yes
80,no
81,yes
82,yes
83,yes
84,yes
85,yes
86,yes
87,no
88,no
89,yes
90,yes
91,yes
92,yes
93,yes
94,yes
95,yes
96,no
97,yes
98,no
99,yes
100,yes
101,yes
102,yes
103,yes
104,yes
105,yes
106,yes
107,yes
108,yes
109,yes
110,yes
111,yes
112,yes
113,yes
114,yes
115,yes
116,yes
117,yes
118,yes
119,yes
120,yes
121,yes
122,yes
123,yes
124,no
125,yes
126,yes
127,no
128,yes
129,yes
130,yes
131,yes
132,yes
133,yes
134,yes
135,yes
136,yes
137,yes
138,yes
139,yes
140,yes
141,yes
142,no
143,no
144,yes
145,yes
146,yes
147,yes
148,no
149,yes
150,yes
